application_id,age,annual_income,employment_length,loan_amount,loan_purpose,interest_rate,dti_ratio,num_open_accounts,num_past_delinquencies,home_ownership,credit_score,months_since_last_delinq,default
38,62,75914.0,0.8,35597.0,medical,13.7,0.608,11,1,rent,636.0,1.0,0
39,34,66188.0,5.9,8828.0,debt_consolidation,5.0,0.142,2,0,rent,787.0,,0
40,52,61383.0,4.6,12215.0,medical,7.83,0.153,9,0,own,,,0
41,29,57493.0,5.8,30151.0,other,6.87,0.233,6,0,mortgage,759.0,,0
42,58,30000.0,3.1,38855.0,other,7.15,0.409,7,0,rent,,,0
43,56,144241.0,0.1,15735.0,debt_consolidation,7.91,0.363,6,0,own,752.0,,0
44,38,112081.0,6.6,9410.0,debt_consolidation,8.29,0.321,1,1,rent,681.0,30.0,0
45,24,30000.0,0.5,12550.0,debt_consolidation,8.77,0.265,3,0,rent,,,0
46,69,115103.0,1.8,22541.0,car,9.91,0.355,6,0,own,746.0,,0
47,43,67543.0,0.6,10928.0,other,12.61,0.692,6,0,rent,680.0,,0
48,65,69197.0,12.7,12215.0,debt_consolidation,9.82,0.192,5,0,rent,722.0,,0
49,54,89539.0,6.6,10547.0,medical,8.44,0.174,3,0,mortgage,748.0,,0
50,59,33561.0,1.1,28596.0,debt_consolidation,14.55,0.495,7,0,rent,637.0,,0
51,58,72797.0,15.0,17876.0,car,12.14,0.514,6,1,rent,651.0,14.0,0
52,30,65405.0,4.8,11714.0,car,7.73,0.215,5,0,mortgage,762.0,,0
53,39,68786.0,0.6,17273.0,debt_consolidation,10.65,0.312,11,0,rent,713.0,,0
54,44,36824.0,5.6,21516.0,debt_consolidation,8.21,0.216,3,0,mortgage,733.0,,0
55,45,83754.0,4.4,6173.0,car,6.73,0.177,8,0,mortgage,787.0,,0
56,23,97621.0,0.5,21142.0,debt_consolidation,9.14,0.356,4,1,rent,734.0,11.0,0
57,48,83570.0,9.9,35155.0,debt_consolidation,7.04,0.12,3,0,mortgage,726.0,,0
58,28,56275.0,9.4,10460.0,other,6.21,0.297,6,0,rent,705.0,,0
59,58,245378.0,4.4,10488.0,debt_consolidation,5.06,0.199,8,0,rent,828.0,,0
60,55,47553.0,1.6,31589.0,other,9.32,0.3,7,0,mortgage,728.0,,0
61,67,108205.0,2.4,5281.0,debt_consolidation,8.07,0.01,7,1,mortgage,700.0,47.0,0
62,58,81631.0,0.3,63336.0,other,16.0,0.5,5,0,mortgage,643.0,,1
63,39,164078.0,2.0,8655.0,other,11.87,0.569,9,0,mortgage,647.0,,0
64,69,91778.0,1.4,12262.0,debt_consolidation,6.96,0.263,4,0,mortgage,775.0,,0
65,41,87891.0,3.7,9239.0,debt_consolidation,7.0,0.078,7,1,rent,698.0,22.0,0
66,37,82392.0,1.3,7997.0,debt_consolidation,12.03,0.435,10,0,mortgage,651.0,,0
67,66,47229.0,2.1,20203.0,medical,9.45,0.315,7,0,mortgage,710.0,,0
68,39,44872.0,,21965.0,car,7.6,0.241,4,1,mortgage,795.0,31.0,0
69,24,53841.0,3.4,10785.0,medical,10.51,0.353,3,1,mortgage,696.0,89.0,0
70,44,104830.0,1.4,6900.0,debt_consolidation,6.97,0.241,9,0,own,732.0,,0
71,60,82056.0,,12275.0,medical,8.28,0.285,2,1,rent,708.0,101.0,0
72,30,57501.0,,21609.0,other,8.54,0.413,8,0,rent,745.0,,0
73,44,126344.0,7.2,16132.0,debt_consolidation,11.02,0.37,2,0,mortgage,672.0,,0
74,27,30000.0,9.1,19008.0,car,7.82,0.241,8,0,rent,738.0,,0
75,55,40237.0,0.6,13348.0,debt_consolidation,6.68,0.16,7,0,mortgage,769.0,,0
76,44,30000.0,0.3,4179.0,other,12.15,0.446,4,1,mortgage,686.0,63.0,0
77,37,113030.0,0.1,6198.0,debt_consolidation,11.53,0.398,7,0,rent,660.0,,0
78,32,61107.0,9.6,30911.0,debt_consolidation,10.02,0.187,0,1,mortgage,655.0,10.0,0
79,49,108026.0,0.7,18785.0,debt_consolidation,13.48,0.411,5,1,mortgage,679.0,1.0,1
80,54,68288.0,2.8,8586.0,medical,10.59,0.346,5,0,mortgage,744.0,,0
81,68,121644.0,0.0,15375.0,debt_consolidation,8.48,0.244,7,0,mortgage,712.0,,0
82,42,63680.0,11.4,47658.0,debt_consolidation,10.54,0.254,9,1,own,705.0,22.0,0
83,29,75459.0,11.6,11418.0,debt_consolidation,9.56,0.304,7,0,rent,712.0,,0
84,62,83996.0,15.8,16386.0,debt_consolidation,11.77,0.35,9,0,mortgage,621.0,,0
85,52,82665.0,,23772.0,car,8.64,0.341,11,0,mortgage,743.0,,0
86,56,154624.0,11.6,11131.0,debt_consolidation,9.23,0.29,3,0,own,679.0,,0
87,25,30000.0,2.4,76121.0,debt_consolidation,16.43,0.844,6,0,rent,701.0,,1
88,36,63285.0,0.5,14929.0,debt_consolidation,7.94,0.301,6,0,rent,763.0,,0
89,59,80377.0,8.8,32947.0,other,13.98,0.184,5,1,mortgage,651.0,1.0,1
90,62,76242.0,0.1,25986.0,debt_consolidation,7.62,0.228,9,2,own,714.0,19.0,0
91,42,56366.0,,26375.0,debt_consolidation,10.25,0.417,6,0,rent,658.0,,0
92,61,58366.0,11.6,24522.0,other,5.0,0.217,5,0,rent,811.0,,0
93,63,149231.0,3.3,6344.0,debt_consolidation,11.07,0.419,5,0,rent,736.0,,0
94,40,64611.0,11.5,7171.0,medical,8.31,0.222,3,0,own,686.0,,0
95,65,226694.0,20.6,41789.0,debt_consolidation,12.36,0.32,6,0,own,673.0,,0
96,35,82321.0,0.7,9190.0,other,10.43,0.398,4,0,mortgage,674.0,,0
97,32,56026.0,4.2,49649.0,other,8.91,0.396,6,0,mortgage,756.0,,0
98,55,92444.0,2.9,7112.0,other,5.0,0.073,3,0,rent,775.0,,0
99,52,74578.0,16.4,12987.0,other,7.18,0.209,10,2,rent,711.0,87.0,0
100,27,113467.0,0.8,18191.0,debt_consolidation,10.12,0.271,9,0,mortgage,723.0,,0
101,62,44111.0,1.1,13138.0,other,9.99,0.261,5,1,rent,690.0,15.0,0
102,30,30000.0,,26062.0,debt_consolidation,10.74,0.313,7,0,rent,722.0,,0
103,61,87339.0,3.3,53287.0,other,10.05,0.398,4,0,rent,701.0,,0
104,21,87209.0,5.4,10510.0,other,11.21,0.209,3,0,own,693.0,,0
105,60,84029.0,2.9,9116.0,debt_consolidation,9.3,0.377,4,1,own,662.0,12.0,0
106,60,99995.0,1.2,20968.0,debt_consolidation,8.25,0.29,3,2,rent,685.0,34.0,0
107,60,93593.0,19.9,21781.0,car,8.0,0.347,8,0,rent,,,0
108,54,36845.0,3.5,9031.0,other,10.01,0.332,5,1,rent,690.0,50.0,0
109,44,77329.0,2.3,45620.0,car,9.87,0.275,4,1,rent,696.0,19.0,0
110,56,131029.0,2.0,10088.0,debt_consolidation,8.08,0.275,8,0,own,721.0,,0
111,34,69731.0,1.2,25272.0,debt_consolidation,8.22,0.536,11,0,rent,732.0,,0
112,60,40978.0,0.8,16729.0,other,6.25,0.275,9,0,rent,761.0,,0
113,48,59869.0,5.5,30657.0,debt_consolidation,10.43,0.285,7,0,mortgage,710.0,,0
114,43,87075.0,1.7,8998.0,other,14.02,0.406,5,1,rent,571.0,15.0,0
115,46,154476.0,0.2,23663.0,medical,10.6,0.386,2,0,mortgage,685.0,,0
116,49,30000.0,6.1,4916.0,other,7.08,0.284,8,0,mortgage,737.0,,0
117,22,70865.0,0.3,15172.0,debt_consolidation,8.47,0.155,4,1,rent,763.0,17.0,0
118,27,40777.0,0.8,11159.0,other,10.53,0.4,4,0,own,696.0,,0
119,33,80660.0,6.2,21157.0,debt_consolidation,8.89,0.155,0,0,mortgage,,,0
120,26,80345.0,13.4,49963.0,other,9.08,0.137,11,1,rent,700.0,9.0,0
121,42,60703.0,2.5,10078.0,debt_consolidation,14.5,0.476,5,0,mortgage,625.0,,0
122,54,95308.0,0.3,19253.0,car,7.03,0.374,0,1,mortgage,735.0,1.0,0
123,53,119203.0,3.6,12190.0,debt_consolidation,12.55,0.213,10,1,rent,677.0,1.0,1
124,44,63273.0,6.6,38034.0,other,13.55,0.252,4,1,rent,704.0,1.0,1
125,63,41069.0,10.4,20680.0,debt_consolidation,9.8,0.5,10,0,own,652.0,,0
126,49,132827.0,5.0,12951.0,debt_consolidation,8.22,0.411,11,0,rent,771.0,,0
127,24,88500.0,4.6,26353.0,debt_consolidation,9.97,0.432,5,2,rent,673.0,81.0,0
128,59,94758.0,2.5,8629.0,car,11.26,0.503,7,0,mortgage,643.0,,0
129,49,51244.0,,19145.0,medical,6.31,0.245,9,0,mortgage,782.0,,0
130,52,110639.0,8.3,14468.0,debt_consolidation,6.63,0.228,2,0,rent,747.0,,0
131,49,175323.0,4.5,24836.0,other,9.81,0.436,5,0,mortgage,667.0,,0
132,48,65878.0,9.0,5113.0,medical,11.95,0.525,3,0,mortgage,671.0,,0
133,25,63974.0,9.6,10287.0,debt_consolidation,9.75,0.482,2,1,rent,707.0,5.0,0
134,48,43080.0,14.0,13788.0,debt_consolidation,9.53,0.328,5,1,rent,673.0,1.0,0
135,60,53448.0,4.7,6430.0,debt_consolidation,5.13,0.147,6,0,mortgage,821.0,,0
136,36,40240.0,5.2,5605.0,medical,10.35,0.423,14,0,rent,717.0,,0
137,51,74936.0,2.0,32435.0,debt_consolidation,8.8,0.176,7,0,mortgage,758.0,,0
138,22,51670.0,0.3,14763.0,debt_consolidation,12.43,0.327,11,0,rent,687.0,,1
139,38,78033.0,1.0,37190.0,medical,7.76,0.368,7,1,mortgage,717.0,6.0,0
140,42,45131.0,4.6,16126.0,other,9.53,0.346,6,0,mortgage,706.0,,0
141,70,71850.0,2.8,33207.0,car,9.43,0.314,5,1,mortgage,672.0,1.0,0
142,31,41323.0,0.3,8338.0,debt_consolidation,6.4,0.159,5,0,rent,743.0,,0
143,34,70229.0,8.1,24508.0,car,10.88,0.335,6,0,mortgage,713.0,,0
144,41,32170.0,4.6,6906.0,debt_consolidation,10.26,0.419,5,1,rent,,15.0,0
145,70,82946.0,2.9,21029.0,medical,9.14,0.256,6,1,mortgage,745.0,2.0,0
146,63,66126.0,1.5,63772.0,car,12.51,0.456,6,0,own,669.0,,0
147,22,65344.0,1.9,13309.0,car,11.65,0.351,6,0,rent,672.0,,0
148,32,30345.0,0.1,19755.0,debt_consolidation,14.17,0.542,7,0,own,591.0,,0
149,62,100164.0,0.5,13918.0,medical,8.12,0.177,3,1,rent,734.0,11.0,0
150,23,52971.0,0.1,20491.0,debt_consolidation,11.98,0.613,3,0,mortgage,638.0,,0
151,63,82656.0,2.4,15727.0,car,10.65,0.234,5,0,rent,670.0,,0
152,35,30000.0,4.6,68433.0,debt_consolidation,14.71,0.873,7,1,mortgage,681.0,22.0,0
153,66,43468.0,3.4,20403.0,debt_consolidation,9.62,0.335,4,0,own,706.0,,0
154,35,54453.0,2.6,9645.0,debt_consolidation,10.85,0.304,5,0,mortgage,652.0,,0
155,42,125197.0,1.2,11251.0,medical,11.2,0.371,8,1,rent,716.0,42.0,0
156,54,90937.0,1.9,37445.0,debt_consolidation,9.29,0.423,4,0,rent,712.0,,0
157,27,65763.0,0.5,13676.0,car,5.0,0.092,4,0,mortgage,788.0,,0
158,48,45899.0,9.6,34785.0,debt_consolidation,16.96,0.574,4,1,rent,610.0,13.0,1
159,46,41854.0,10.6,29266.0,car,6.25,0.252,8,1,own,774.0,33.0,0
160,60,83680.0,3.2,13232.0,debt_consolidation,10.86,0.443,3,0,rent,693.0,,0
161,70,106197.0,4.1,11386.0,debt_consolidation,10.18,0.366,6,1,rent,664.0,34.0,0
162,54,78802.0,6.7,22448.0,car,10.33,0.291,8,1,own,656.0,9.0,0
163,41,144731.0,4.7,8624.0,car,5.95,0.168,4,0,own,716.0,,0
164,41,49327.0,6.6,33272.0,debt_consolidation,8.98,0.566,6,0,rent,715.0,,0
165,41,72696.0,2.9,11321.0,debt_consolidation,10.08,0.379,4,0,rent,724.0,,0
166,61,34654.0,2.6,14986.0,medical,5.54,0.324,7,0,mortgage,804.0,,0
167,37,72160.0,13.0,20268.0,medical,9.3,0.239,5,0,mortgage,710.0,,0
168,29,121552.0,0.5,20882.0,car,11.69,0.384,5,1,rent,654.0,7.0,0
169,37,41068.0,3.7,9085.0,car,12.84,0.216,2,1,rent,656.0,6.0,0
170,22,87987.0,4.7,5001.0,car,7.7,0.269,6,0,rent,,,0
171,26,117951.0,1.9,11319.0,debt_consolidation,7.94,0.2,12,0,rent,734.0,,0
172,25,44952.0,4.1,19645.0,medical,10.0,0.441,3,1,mortgage,687.0,9.0,0
173,59,90718.0,1.5,29189.0,debt_consolidation,11.44,0.436,6,1,rent,657.0,4.0,0
174,57,148212.0,,6925.0,other,11.67,0.468,7,1,rent,665.0,18.0,0
175,55,79967.0,1.0,15663.0,other,11.11,0.405,9,0,rent,713.0,,0
176,44,97080.0,1.9,6001.0,debt_consolidation,11.31,0.261,6,0,mortgage,666.0,,0
177,56,32609.0,0.2,3891.0,debt_consolidation,9.49,0.189,3,0,rent,,,0
178,29,82092.0,4.3,60968.0,debt_consolidation,12.2,0.268,8,1,own,625.0,6.0,0
179,66,95968.0,1.7,12080.0,car,5.0,0.01,5,0,own,812.0,,0
180,46,37910.0,2.5,18012.0,debt_consolidation,13.84,0.304,8,0,own,670.0,,0
181,67,49503.0,11.4,25969.0,debt_consolidation,8.38,0.233,5,1,own,706.0,3.0,0
182,28,81874.0,3.0,47672.0,debt_consolidation,11.04,0.136,6,2,own,669.0,27.0,0
183,45,59773.0,7.1,14314.0,debt_consolidation,14.66,0.419,11,1,own,629.0,1.0,1
184,55,118898.0,3.1,10554.0,debt_consolidation,13.28,0.479,5,0,rent,624.0,,0
185,45,78776.0,6.7,11359.0,debt_consolidation,5.09,0.166,3,0,own,781.0,,0
186,43,69521.0,1.5,13984.0,medical,8.37,0.148,2,0,rent,735.0,,0
187,29,58115.0,9.1,16201.0,car,8.28,0.259,6,0,rent,728.0,,0
188,40,76089.0,5.1,16327.0,car,14.98,0.377,9,2,rent,632.0,80.0,1
189,32,91604.0,18.2,11275.0,other,10.08,0.314,8,0,rent,653.0,,0
190,36,82985.0,4.6,8416.0,debt_consolidation,8.14,0.372,6,0,mortgage,751.0,,0
191,55,59593.0,1.9,43966.0,debt_consolidation,11.66,0.411,9,0,rent,673.0,,0
192,52,124037.0,13.8,15939.0,medical,7.05,0.203,4,0,mortgage,700.0,,0
193,51,94985.0,12.7,9568.0,debt_consolidation,9.48,0.157,7,0,rent,743.0,,0
194,39,78898.0,13.3,5078.0,other,9.03,0.027,6,0,mortgage,755.0,,0
195,68,79992.0,0.4,18441.0,other,7.73,0.232,5,0,mortgage,729.0,,0
196,25,76783.0,18.2,13944.0,medical,11.41,0.366,4,2,rent,682.0,40.0,0
197,38,30000.0,2.4,9545.0,debt_consolidation,9.86,0.136,8,0,own,711.0,,0
198,26,68744.0,2.5,25909.0,debt_consolidation,9.18,0.423,5,0,mortgage,760.0,,0
199,37,137276.0,4.5,7811.0,car,9.97,0.356,5,1,mortgage,719.0,12.0,0
200,69,85143.0,12.6,17253.0,car,9.46,0.441,6,0,rent,687.0,,0
201,39,68880.0,5.3,21873.0,car,12.12,0.48,6,0,rent,724.0,,0
202,66,58155.0,0.0,8489.0,car,16.82,0.477,6,1,rent,610.0,14.0,1
203,45,85499.0,0.6,17419.0,other,5.0,0.366,5,1,rent,807.0,17.0,0
204,55,66030.0,2.0,13830.0,debt_consolidation,10.57,0.38,5,1,rent,687.0,23.0,0
205,43,122170.0,5.3,23077.0,car,8.36,0.191,2,1,rent,714.0,2.0,0
206,34,43760.0,2.4,25306.0,debt_consolidation,10.9,0.466,3,0,mortgage,714.0,,0
207,59,59985.0,17.1,3672.0,car,12.31,0.244,6,0,mortgage,740.0,,1
208,69,58847.0,3.3,21205.0,medical,9.35,0.201,4,0,mortgage,711.0,,0
209,34,147365.0,5.8,21232.0,debt_consolidation,11.29,0.361,8,0,rent,653.0,,0
210,59,67507.0,0.5,47232.0,debt_consolidation,11.57,0.234,2,1,rent,659.0,5.0,0
211,34,50437.0,11.0,24844.0,debt_consolidation,8.72,0.134,3,1,mortgage,683.0,6.0,0
212,56,30000.0,2.8,18270.0,debt_consolidation,10.64,0.508,2,0,mortgage,717.0,,0
213,60,49028.0,0.9,12827.0,other,10.1,0.394,6,1,rent,670.0,87.0,0
214,43,85951.0,0.3,8135.0,other,9.78,0.206,4,1,mortgage,696.0,28.0,0
215,57,92163.0,1.4,20631.0,debt_consolidation,10.85,0.25,4,0,rent,689.0,,0
216,34,48149.0,4.2,11293.0,debt_consolidation,9.97,0.227,9,0,mortgage,691.0,,0
217,24,46620.0,0.2,10613.0,car,8.88,0.335,5,0,mortgage,688.0,,0
218,25,141585.0,18.0,14729.0,car,10.21,0.162,4,0,rent,,,0
219,43,228058.0,1.7,20270.0,debt_consolidation,13.28,0.413,6,0,mortgage,709.0,,1
220,66,127569.0,0.3,30254.0,debt_consolidation,9.74,0.204,4,0,mortgage,718.0,,0
221,27,125122.0,,18548.0,debt_consolidation,8.6,0.405,10,0,rent,697.0,,0
222,43,150411.0,1.7,19181.0,car,6.8,0.234,6,0,mortgage,737.0,,0
223,56,196256.0,1.9,13019.0,debt_consolidation,8.62,0.339,3,0,rent,738.0,,0
224,31,55404.0,,12364.0,other,8.93,0.323,1,1,rent,677.0,37.0,0
225,57,49038.0,4.1,13898.0,medical,9.23,0.461,8,1,rent,721.0,4.0,0
226,36,148932.0,1.7,18359.0,medical,7.44,0.125,9,1,mortgage,681.0,17.0,0
227,61,48107.0,0.1,7913.0,debt_consolidation,10.78,0.357,5,0,mortgage,706.0,,0
228,49,44021.0,15.2,9076.0,medical,7.41,0.41,5,0,rent,739.0,,0
229,48,44250.0,4.2,29165.0,debt_consolidation,14.44,0.59,9,1,mortgage,649.0,33.0,1
230,29,59145.0,5.6,16975.0,car,14.39,0.42,7,0,rent,689.0,,1
231,44,30000.0,9.7,3103.0,debt_consolidation,11.52,0.368,3,0,rent,,,0
232,63,39334.0,0.8,21878.0,debt_consolidation,8.56,0.322,7,0,mortgage,718.0,,0
233,21,45250.0,1.1,16840.0,debt_consolidation,6.34,0.317,10,0,rent,738.0,,0
234,58,42716.0,,18289.0,debt_consolidation,13.31,0.235,4,0,mortgage,656.0,,0
235,45,110483.0,,16091.0,debt_consolidation,9.23,0.336,4,0,rent,691.0,,0
236,56,72665.0,5.2,44864.0,car,9.64,0.206,4,1,rent,696.0,28.0,0
237,54,92996.0,,16057.0,car,12.1,0.489,6,1,rent,667.0,120.0,0
238,42,83205.0,1.1,4034.0,debt_consolidation,9.01,0.312,7,1,rent,685.0,21.0,0
239,36,59464.0,20.4,38028.0,medical,9.9,0.231,4,1,rent,684.0,26.0,0
240,52,110774.0,,30286.0,debt_consolidation,9.41,0.386,4,1,own,693.0,2.0,0
241,28,76467.0,,10897.0,debt_consolidation,6.29,0.116,7,1,rent,734.0,5.0,0
242,50,60909.0,11.1,11888.0,medical,10.62,0.278,3,0,rent,691.0,,0
243,25,30000.0,11.3,28874.0,debt_consolidation,7.78,0.34,10,1,mortgage,740.0,13.0,0
244,53,90213.0,6.2,82198.0,car,10.59,0.535,7,0,rent,679.0,,0
245,52,40255.0,0.1,22587.0,medical,9.35,0.313,3,0,mortgage,743.0,,0
246,25,72754.0,5.1,10598.0,medical,10.37,0.216,5,0,own,716.0,,0
247,58,75810.0,5.5,24101.0,debt_consolidation,10.97,0.468,6,0,rent,653.0,,0
248,41,36358.0,11.7,10672.0,medical,10.91,0.271,7,1,rent,683.0,13.0,0
249,60,82995.0,11.7,10221.0,debt_consolidation,8.91,0.415,3,0,own,702.0,,0
250,23,66040.0,5.2,14639.0,medical,12.65,0.236,7,0,rent,650.0,,0
251,29,68501.0,3.0,26306.0,debt_consolidation,10.98,0.486,6,0,mortgage,717.0,,0
252,45,73180.0,0.2,30064.0,debt_consolidation,10.83,0.286,4,1,mortgage,677.0,21.0,0
253,30,47052.0,,7223.0,debt_consolidation,13.53,0.391,4,1,rent,654.0,1.0,1
254,37,85639.0,4.5,11051.0,medical,8.76,0.453,9,0,mortgage,742.0,,0
255,54,52639.0,1.4,5965.0,other,9.08,0.321,2,0,rent,748.0,,0
256,28,38468.0,1.1,30926.0,debt_consolidation,11.8,0.4,6,0,own,719.0,,0
257,54,97172.0,1.6,20406.0,debt_consolidation,13.4,0.325,9,0,rent,709.0,,1
258,26,93991.0,0.6,20506.0,debt_consolidation,14.31,0.552,8,2,rent,613.0,28.0,0
259,29,82427.0,10.1,16378.0,car,12.59,0.682,4,0,mortgage,,,0
260,50,64035.0,7.4,19069.0,debt_consolidation,8.42,0.01,7,0,own,726.0,,0
261,60,30869.0,,19355.0,debt_consolidation,12.79,0.285,2,2,own,598.0,5.0,0
262,29,122228.0,0.4,20032.0,medical,9.89,0.342,4,1,rent,715.0,12.0,0
263,35,30000.0,4.0,9865.0,car,10.9,0.431,6,1,own,689.0,5.0,0
264,67,99455.0,0.6,27783.0,debt_consolidation,14.21,0.327,7,0,mortgage,691.0,,1
265,70,200255.0,2.6,33987.0,medical,10.06,0.473,5,0,own,750.0,,0
266,50,75183.0,5.5,18934.0,car,9.62,0.328,6,0,mortgage,696.0,,0
267,43,77268.0,6.1,14242.0,other,7.54,0.2,9,1,mortgage,735.0,24.0,0
268,38,78262.0,0.5,51109.0,debt_consolidation,9.93,0.3,3,0,own,703.0,,0
269,51,77241.0,6.4,25400.0,debt_consolidation,12.25,0.326,8,1,mortgage,616.0,1.0,0
270,50,202439.0,6.5,6178.0,debt_consolidation,5.5,0.216,9,0,rent,762.0,,0
271,35,44411.0,6.2,24213.0,debt_consolidation,12.18,0.557,6,0,mortgage,730.0,,0
272,22,38951.0,7.3,32395.0,debt_consolidation,5.0,0.2,3,0,mortgage,792.0,,0
273,28,53840.0,1.2,14765.0,debt_consolidation,6.64,0.163,10,0,rent,787.0,,0
274,68,168013.0,4.5,7525.0,other,7.77,0.32,5,0,own,771.0,,0
275,41,51727.0,5.3,34377.0,debt_consolidation,12.89,0.482,3,0,rent,674.0,,0
276,45,83130.0,7.6,19612.0,debt_consolidation,8.94,0.339,4,0,rent,732.0,,0
277,44,110329.0,5.8,34266.0,debt_consolidation,7.42,0.237,3,0,mortgage,722.0,,0
278,60,104904.0,5.2,18705.0,other,10.8,0.248,6,1,rent,687.0,7.0,0
279,24,96372.0,11.5,5914.0,debt_consolidation,8.77,0.428,7,0,rent,706.0,,0
280,25,116054.0,1.1,25445.0,debt_consolidation,7.3,0.131,6,1,mortgage,737.0,12.0,0
281,34,74148.0,3.0,24769.0,medical,15.19,0.775,7,0,rent,698.0,,0
282,45,55763.0,13.2,9186.0,debt_consolidation,7.66,0.213,6,2,rent,727.0,6.0,0
283,54,76642.0,3.7,74731.0,medical,7.94,0.315,6,0,mortgage,748.0,,0
284,45,58804.0,,9426.0,debt_consolidation,7.89,0.265,9,0,mortgage,781.0,,0
285,43,210804.0,17.1,10578.0,debt_consolidation,6.85,0.165,8,0,mortgage,751.0,,0
286,67,60116.0,2.2,41958.0,other,8.15,0.426,8,0,mortgage,779.0,,0
287,29,77987.0,2.7,7332.0,medical,9.34,0.218,7,0,mortgage,725.0,,0
288,49,35593.0,10.5,15443.0,car,12.79,0.358,9,1,mortgage,723.0,94.0,0
289,48,73859.0,2.6,10833.0,debt_consolidation,11.16,0.316,11,0,rent,697.0,,0
290,44,59879.0,3.8,16182.0,car,8.17,0.244,7,0,rent,772.0,,0
291,61,100626.0,,8978.0,debt_consolidation,10.43,0.274,6,0,mortgage,663.0,,0
292,34,88512.0,,54454.0,car,7.9,0.323,6,0,mortgage,750.0,,0
293,68,145230.0,2.5,9543.0,medical,14.07,0.333,4,1,mortgage,648.0,16.0,1
294,37,119799.0,4.7,25510.0,other,9.96,0.457,7,1,mortgage,712.0,16.0,0
295,48,67529.0,12.0,6876.0,debt_consolidation,12.12,0.463,3,0,mortgage,694.0,,0
296,47,45252.0,0.6,14696.0,debt_consolidation,10.68,0.188,10,2,rent,681.0,14.0,0
297,63,51665.0,1.8,36374.0,other,9.15,0.125,6,0,mortgage,690.0,,0
298,42,77258.0,0.0,17898.0,car,9.83,0.426,6,0,mortgage,656.0,,0
